云南频道,#genre#
北京国际频道,http://115.171.216.32:4000/rtp/225.1.8.131:8002$北京电信-组播1
北京卫视4K超高清,http://115.171.216.32:4000/udp/225.1.8.120:8002$北京电信-组播1
北京卫视4K超高清,http://115.171.216.32:4000/rtp/225.1.8.128:8002$北京电信-组播1
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.1:8008$北京电信-组播1
CCTV-2财经,http://115.171.216.32:4000/rtp/225.1.8.2:8084$北京电信-组播1
CCTV-3综艺,http://115.171.216.32:4000/rtp/225.1.8.88:8000$北京电信-组播1
CCTV-4中文国际,http://115.171.216.32:4000/rtp/225.1.8.4:8092$北京电信-组播1
CCTV-5体育,http://115.171.216.32:4000/rtp/225.1.8.89:8000$北京电信-组播1
CCTV-5+体育赛事,http://115.171.216.32:4000/rtp/225.1.8.20:8004$北京电信-组播1
CCTV-6电影,http://115.171.216.32:4000/rtp/225.1.8.84:8000$北京电信-组播1
CCTV-7国防军事,http://115.171.216.32:4000/rtp/225.1.8.7:8104$北京电信-组播1
CCTV-8电视剧,http://115.171.216.32:4000/rtp/225.1.8.85:8000$北京电信-组播1
CCTV-9纪录,http://115.171.216.32:4000/rtp/225.1.8.9:8112$北京电信-组播1
CCTV-10科教,http://115.171.216.32:4000/rtp/225.1.8.10:8116$北京电信-组播1
CCTV-11戏曲,http://115.171.216.32:4000/rtp/225.1.8.73:8120$北京电信-组播1
CCTV-12社会与法,http://115.171.216.32:4000/rtp/225.1.8.12:8124$北京电信-组播1
CCTV-13新闻,http://115.171.216.32:4000/rtp/225.1.8.168:8130$北京电信-组播1
