20组播,#genre#
中国交通,http://www.zhms.tk:5050/udp/239.94.0.87:5140$四川电信-组播2
中国天气,http://www.zhms.tk:5050/udp/239.94.1.167:5140$四川电信-组播2
华数经典电影,http://www.zhms.tk:5050/udp/239.94.1.21:5140$四川电信-组播2
华数热播剧场,http://www.zhms.tk:5050/udp/239.94.1.25:5140$四川电信-组播2
华数魅力时尚,http://www.zhms.tk:5050/udp/239.94.1.39:5140$四川电信-组播2
华数少儿动画,http://www.zhms.tk:5050/udp/239.94.1.33:5140$四川电信-组播2
华数谍战剧场,http://www.zhms.tk:5050/udp/239.94.1.28:5140$四川电信-组播2
iHOT爱谍战,http://www.zhms.tk:5050/udp/239.94.1.134:5140$四川电信-组播2
iHOT爱动漫,http://www.zhms.tk:5050/udp/239.94.1.141:5140$四川电信-组播2
iHOT爱科幻,http://www.zhms.tk:5050/udp/239.94.1.131:5140$四川电信-组播2
iHOT爱浪漫,http://www.zhms.tk:5050/udp/239.94.1.128:5140$四川电信-组播2
iHOT爱历史,http://www.zhms.tk:5050/udp/239.94.1.135:5140$四川电信-组播2
iHOT爱旅行,http://www.zhms.tk:5050/udp/239.94.1.137:5140$四川电信-组播2
iHOT爱奇谈,http://www.zhms.tk:5050/udp/239.94.1.130:5140$四川电信-组播2
iHOT爱赛车,http://www.zhms.tk:5050/udp/239.94.1.144:5140$四川电信-组播2
iHOT爱体育,http://www.zhms.tk:5050/udp/239.94.1.44:5140$四川电信-组播2
iHOT爱体育,http://www.zhms.tk:5050/udp/239.94.1.143:5140$四川电信-组播2
iHOT爱玩具,http://www.zhms.tk:5050/udp/239.94.1.140:5140$四川电信-组播2
iHOT爱喜剧,http://www.zhms.tk:5050/udp/239.94.1.129:5140$四川电信-组播2
iHOT爱喜剧,http://www.zhms.tk:5050/udp/239.94.2.71:5140$四川电信-组播2
iHOT爱悬疑,http://www.zhms.tk:5050/udp/239.94.1.136:5140$四川电信-组播2
iHOT爱幼教,http://www.zhms.tk:5050/udp/239.94.1.139:5140$四川电信-组播2
iHOT爱院线,http://www.zhms.tk:5050/udp/239.94.1.132:5140$四川电信-组播2
爱生活高清专区,http://www.zhms.tk:5050/udp/239.94.1.41:5140$四川电信-组播2
爱宠宠物专区,http://www.zhms.tk:5050/udp/239.94.1.145:5140$四川电信-组播2
爱上4K,http://www.zhms.tk:5050/udp/239.94.0.21:5140$四川电信-组播2
浙江电竞天堂,http://www.zhms.tk:5050/udp/239.94.1.45:5140$四川电信-组播2
江苏优漫卡通,http://www.zhms.tk:5050/udp/239.94.1.31:5140$四川电信-组播2
